 Destination Port,Destination IP, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
27549,98.87.159.99,7292472,1,5,6,30,6,6,6,0,6,6,6,0,4.936597631,0.822766272,1458494.4,3256898.583,7284610,3,0,0,0,0,0,7291829,1822957.25,3641102.862,7284610,3,0,0,0,0,20,100,0.137127712,0.68563856,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,7862,0,7862,7862,7284610,0,7284610,7284610,BENIGN
27525,105.23.232.77,8018394,1,6,6,36,6,6,6,0,6,6,6,0,5.237956628,0.872992771,1336399,3260808.755,7992473,2,0,0,0,0,0,7995779,1599155.8,3573973.09,7992473,2,0,0,0,0,20,120,0.124713253,0.748279518,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,25921,0,25921,25921,7992473,0,7992473,7992473,BENIGN
27551,161.87.118.119,7281420,1,4,6,24,6,6,6,0,6,6,6,0,4.12007548,0.686679247,1820355,3638164.305,7277601,155,0,0,0,0,0,7278042,2426014,4201597.591,7277601,155,0,0,0,0,20,80,0.137335849,0.549343397,6,6,6,0,0,0,0,0,0,1,1,0,0,4,7.2,6,6,20,0,0,0,0,0,0,1,6,4,24,229,0,0,20,3819,0,3819,3819,7277601,0,7277601,7277601,BENIGN
27546,83.235.195.28,7290448,1,5,6,30,6,6,6,0,6,6,6,0,4.937968147,0.822994691,1458089.6,3253832.296,7278717,4,0,0,0,0,0,7289825,1822456.25,3637510.015,7278717,4,0,0,0,0,20,100,0.137165782,0.685828909,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,11731,0,11731,11731,7278717,0,7278717,7278717,BENIGN
27529,20.175.255.213,8017436,1,6,6,36,6,6,6,0,6,6,6,0,5.238582509,0.873097085,1336239.333,3260496.334,7991678,1,0,0,0,0,0,7995828,1599165.6,3573523.299,7991678,1,0,0,0,0,20,120,0.124728155,0.74836893,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,25758,0,25758,25758,7991678,0,7991678,7991678,BENIGN
50687,169.166.55.134,1022272,6,2,11607,26,10135,0,1934.5,4059.461922,20,6,13,9.899494937,11379.55456,7.825705879,146038.8571,386038.5714,1021492,5,1022272,204454.4,456737.9503,1021492,5,49,49,0,49,49,0,0,0,0,144,40,5.869279409,1.95642647,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
27599,67.7.156.69,86746,4,3,11601,26,8760,0,2900.25,4128.319301,20,0,8.666666667,10.26320288,134034.9987,80.69536347,14457.66667,30645.97154,76511,3,86746,28915.33333,41513.0137,76511,186,9801,4900.5,6926.110922,9798,3,0,0,0,0,92,72,46.11163627,34.5837272,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,1,0,0,0,0,1661,2900.25,8.666666667,92,0,0,0,0,0,0,4,11601,3,26,29200,256,3,20,0,0,0,0,0,0,0,0,BENIGN
27596,238.112.228.97,86797,6,3,11601,26,2920,0,1933.5,1495.722401,20,0,8.666666667,10.26320288,133956.2427,103.6902197,10849.625,26662.15138,76300,3,86797,17359.4,33226.44631,76300,63,9801,4900.5,6926.110922,9798,3,0,0,0,0,132,72,69.12681314,34.56340657,0,2920,1162.7,1494.366611,2233131.567,0,0,0,1,1,0,0,0,0,1291.888889,1933.5,8.666666667,132,0,0,0,0,0,0,6,11601,3,26,29200,256,5,20,0,0,0,0,0,0,0,0,BENIGN
50711,171.26.9.189,147504,6,2,11601,26,7300,0,1933.5,2864.553281,20,6,13,9.899494937,78824.98102,54.23581733,21072,46864.82932,125898,13,147504,29500.8,54641.31837,125898,158,13,13,0,13,13,0,0,0,0,144,40,40.676863,13.55895433,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,0,1453.375,1933.5,13,144,0,0,0,0,0,0,6,11601,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
50710,223.58.189.102,147263,6,2,11601,26,7300,0,1933.5,2873.204744,20,6,13,9.899494937,78953.98029,54.32457576,21037.57143,46833.98791,125783,11,147263,29452.6,54604.64086,125783,103,11,11,0,11,11,0,0,0,0,144,40,40.74343182,13.58114394,0,7300,1291.888889,2466.94915,6085838.111,0,0,0,1,0,0,0,0,0,1453.375,1933.5,13,144,0,0,0,0,0,0,6,11601,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
